 ANO; MES; MBC (COP); MBC  (%); TIPO
2020;1;118500627.0;100.0;REAL
2020;2;139269643.0;100.0;REAL
2020;3;144312488.0;100.0;REAL
2020;4;162266203.0;43.67;REAL
2020;5;116717666.0;161.26;REAL
2020;6;102056445.0;36.06;REAL
2020;7;136926112.0;38.24;REAL
2020;8;124670497.0;39.02;REAL
2020;9;128910621.0;40.84;REAL
2020;10;122080719.0;41.18;REAL
2020;11;114256327.0;43.29;REAL
2020;12;139360343.0;37.25;REAL
2021;3;159714076.0;41.01;REAL
2021;4;155793822.0;44.07;REAL
2021;5;169493421.0;43.66;REAL
2021;6;150366971.0;41.68;REAL
2021;7;140733645.0;39.04;REAL
2021;8;155938534.0;38.13;REAL
2021;9;163359144.0;39.98;REAL
2021;10;145921166.0;35.14;REAL
2021;11;124670497.0;39.02;PRONOSTICO
2021;12;128910621.0;40.84;PRONOSTICO
2022;1;122080719.0;41.18;PRONOSTICO
2022;2;114256327.0;43.29;PRONOSTICO
2022;3;139360343.0;37.25;PRONOSTICO
2022;4;139107351.5;70.5;PRONOSTICO
2022;5;147531732.5;72.03;PRONOSTICO
2022;6;156902954.5;71.83;PRONOSTICO
2022;7;156316587.0;42.67;PRONOSTICO
2022;8;128725655.5;100.15;PRONOSTICO
2022;9;128997489.5;37.09;PRONOSTICO
2022;10;150142628.0;39.11;PRONOSTICO
